_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
172.3076343,-46.9733512,225,J0256.3+0335,0,Y,PKS B0253+033,44.11742,3.55762,0.051,0.074,bcu II,HSP,15.62,15.62,,0.969,0.877,0.0,-1.11,313.88,N,,17.402,16.46,0.41,,Simbad
192.3924819,-56.8851543,226,J0257.8-1216,0,Y,PMN J0257-1211,44.42085,-12.20038,0.084,0.155,fsrq,ISP,14.16,14.539,1.391,0.993,0.0,0.0,0.888,217.91,N,,18.67,,0.67,1.28,Simbad
159.0005871,-33.352385,227,J0258.0+2030,0,N,MG3 J025805+2029,44.53046,20.50044,0.017,0.076,bll,ISP,14.84,14.84,,0.998,0.831,0.845,,98.69,N,21.3,20.729,17.75,0.47,1.21,Simbad
169.1159162,-43.3074451,228,J0259.5+0746,0,Y,PKS 0256+075,44.86282,7.79435,0.023,0.065,fsrq,LSP,13.368,13.645,0.893,0.999,0.943,0.0,0.474,834.92,N,,20.181,,0.86,1.14,Simbad
200.8688073,-58.3194583,229,J0301.4-1652,0,Y,PMN J0301-1652,45.31926,-16.87919,0.051,0.126,bcu II,LSP,13.72,13.72,,0.99,0.801,0.0,-0.867,170.49,N,,17.38,,0.52,,Simbad
221.2255657,-61.0842269,230,J0301.8-2721,0,Y,NVSS J030158-272754,45.4917,-27.46525,0.106,0.124,bcu II,LSP,13.985,13.985,,0.839,0.0,0.0,0.109,52.73,N,,,,,,Simbad
290.0120003,-41.7634355,231,J0301.8-7157,0,Y,PKS 0301-721,45.41019,-71.94289,0.018,0.112,bcu II,LSP,13.67,13.67,,0.995,0.926,0.0,2.244,791.7,S,,18.596,,0.69,1.41,Simbad
295.7254386,-35.9621422,232,J0302.5-7915,0,Y,PMN J0303-7914,45.83709,-79.24903,0.036,0.1,fsrq,LSP,12.74,13.065,1.115,0.998,0.803,0.0,0.887,127.7,S,,19.987,,0.71,,Simbad
153.0658977,-23.2158384,233,J0303.0+3150,0,Y,B2 0259+31,45.75647,31.8459,0.011,0.174,bcu II,ISP,13.88,14.207,,0.0,0.854,0.0,0.107,439.43,N,,18.616,,0.58,,Simbad
214.6213878,-60.1773509,234,J0303.4-2407,1,Y,PKS 0301-243,45.86043,-24.11984,0.01,0.015,bll,HSP,15.314,15.433,0.26,1.0,0.971,0.967,-0.246,701.15,N,102.0,15.614,,0.45,1.2,Simbad
