_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
276.0996859,9.4134214,103,J1015.2-4512,0,PMN J1014-4508,153.70981,-45.14477,0.097,0.101,bcu II,LSP,12.025,12.025,,0.986,0.9,,NED,542.0,A,,Simbad
283.7216526,4.6517759,104,J1038.9-5311,0,MRC 1036-529,159.66941,-53.19535,0.04,0.057,bcu II,LSP,12.235,12.235,,0.998,1.0,,NED,1675.0,A,,Simbad
289.0860114,-2.7890162,105,J1047.8-6216,0,PMN J1047-6217,161.92897,-62.2874,0.016,0.044,bcu II,LSP,12.2,12.2,,0.999,1.0,,NED,2285.0,A,,Simbad
290.8164622,-5.2940729,106,J1051.5-6517,0,PKS 1049-650,162.848,-65.3024,0.017,0.063,bcu II,ISP,14.03,14.03,,0.998,,,NED,220.0,A,,Simbad
287.417697,5.6496258,107,J1103.9-5357,0,PKS 1101-536,165.96759,-53.95019,0.007,0.028,bll,LSP,13.83,13.83,,0.999,0.984,,NED,539.0,A,,Simbad
293.5554934,-3.0376516,108,J1123.2-6415,0,AT20G J112319-641735,170.8309,-64.29339,0.034,0.078,bcu III,-,,,,0.995,0.931,,NED,280.0,A,,Simbad
296.0709151,-6.5901287,109,J1136.6-6826,0,PKS 1133-681,174.00874,-68.45162,0.062,0.105,bcu III,-,,,,0.987,0.932,,NED,585.0,A,,Simbad
299.61661,9.672599,110,J1229.8-5305,0,AT20G J122939-530332,187.41637,-53.05894,0.046,0.116,bcu III,-,,,,0.991,,,NED,56.0,A,,Simbad
300.603586,5.1953949,111,J1233.9-5736,0,AT20G J123407-573552,188.52933,-57.59803,0.019,0.036,bcu II,ISP,14.7,14.7,,0.998,,,NED,59.0,A,,Simbad
303.5252301,3.537539,112,J1256.1-5919,0,PMN J1256-5919,194.02043,-59.32886,0.013,0.054,bcu III,-,,,,0.998,,,NED,72.0,A,,Simbad
304.6905748,7.1540111,113,J1304.3-5535,0,PMN J1303-5540,195.95507,-55.67545,0.119,0.132,bcu II,LSP,12.725,12.725,,0.974,0.908,,NED,905.0,A,,Simbad
304.5734074,-4.3000959,114,J1308.1-6707,0,PKS 1304-668,197.0724,-67.11812,0.012,0.053,bcu II,ISP,14.23,14.23,,0.998,0.973,,NED,611.0,A,,Simbad
306.4807496,9.1322041,115,J1315.1-5329,0,PMN J1315-5334,198.76742,-53.57663,0.089,0.069,bcu I,LSP,13.775,13.775,,0.959,0.912,,NED,,,,Simbad
308.3243638,9.5609897,116,J1326.6-5256,0,PMN J1326-5256,201.70512,-52.9399,0.025,0.043,bll,LSP,12.559,12.559,,0.999,1.0,,NED,,,,Simbad
308.1835909,6.3539972,117,J1328.9-5607,0,PMN J1329-5608,202.25477,-56.13407,0.009,0.022,bcu I,LSP,12.93,12.93,,1.0,0.99,,NED,,,,Simbad
306.2504305,-7.4319276,118,J1330.1-7002,0,PKS 1326-697,202.54615,-70.05363,0.008,0.031,bcu II,LSP,13.425,13.425,,1.0,0.977,,NED,,,,Simbad
309.7213985,1.7315227,119,J1346.6-6027,0,Cen B,206.70435,-60.40815,0.052,0.051,rdg,ISP,14.762,14.762,0.01292,1.0,1.0,,NED,,,,Simbad
